TIME,BIKE_USAGE
2019-02-06,3482.931818181818
2019-02-07,3500.0
2019-02-08,3087.333333333333
2019-02-09,1719.0833333333333
2019-02-10,1599.9166666666663
2019-02-11,3152.583333333333
2019-02-12,3452.0
2019-02-13,3412.4166666666665
2019-02-14,3561.1666666666665
2019-02-15,3251.1666666666665
2019-02-16,1844.8333333333333
2019-02-17,1841.9333333333327
2019-02-18,3128.75
2019-02-19,3368.75
2019-02-20,3489.6666666666665
2019-02-21,3494.1666666666665
2019-02-22,3229.833333333333
2019-02-23,1951.75
2019-02-24,1881.1666666666663
2019-02-25,3232.75
2019-02-26,3408.583333333333
2019-02-27,3413.083333333333
2019-02-28,3449.0
2019-03-01,3160.75
2019-03-02,1911.8333333333333
2019-03-03,1206.4166666666667
2019-03-04,3127.6666666666665
